time,open,high,low,close,
20/02/2012 0:00,1.3209,1.32926,1.31823,1.32698,194992
21/02/2012 0:00,1.32698,1.32898,1.3198,1.32254,238811
22/02/2012 0:00,1.32256,1.32638,1.32135,1.32577,212683
23/02/2012 0:00,1.32576,1.33791,1.3254,1.33695,219890
24/02/2012 0:00,1.33695,1.34857,1.33568,1.34461,187062
26/02/2012 0:00,1.34612,1.34787,1.34429,1.34494,42323
27/02/2012 0:00,1.34494,1.34642,1.33658,1.34357,256168
28/02/2012 0:00,1.34357,1.34852,1.33901,1.34837,259678
29/02/2012 0:00,1.34837,1.34853,1.33147,1.33467,270442
01/03/2012 0:00,1.33467,1.33556,1.3282,1.32986,241826
02/03/2012 0:00,1.32989,1.33074,1.31864,1.32003,185770
04/03/2012 0:00,1.31895,1.32134,1.3182,1.31999,33752
05/03/2012 0:00,1.31998,1.32386,1.31597,1.3195,236261
06/03/2012 0:00,1.3195,1.32087,1.31032,1.3138,247613
07/03/2012 0:00,1.31377,1.31777,1.30959,1.31716,212760
08/03/2012 0:00,1.31716,1.3291,1.3165,1.32669,217391
09/03/2012 0:00,1.32672,1.32701,1.30974,1.31227,184124
11/03/2012 0:00,1.30991,1.31245,1.30848,1.3092,32380
12/03/2012 0:00,1.3092,1.31902,1.30788,1.31758,207561
13/03/2012 0:00,1.31758,1.31818,1.30518,1.3069,224762
14/03/2012 0:00,1.30692,1.309,1.30035,1.30351,226389
15/03/2012 0:00,1.30351,1.31176,1.3015,1.30854,210520
16/03/2012 0:00,1.30854,1.31869,1.30486,1.31732,164083
18/03/2012 0:00,1.31743,1.31867,1.31616,1.31683,25088
19/03/2012 0:00,1.31684,1.32628,1.31417,1.32327,178576
20/03/2012 0:00,1.32326,1.32828,1.3172,1.32729,200521
21/03/2012 0:00,1.3273,1.32844,1.31788,1.32316,206513
22/03/2012 0:00,1.32316,1.32544,1.3135,1.32027,212481
23/03/2012 0:00,1.32027,1.32919,1.31907,1.32684,173451
25/03/2012 0:00,1.3269,1.32839,1.32479,1.32541,32271
26/03/2012 0:00,1.32539,1.33674,1.3192,1.33516,211985
27/03/2012 0:00,1.33511,1.33846,1.33121,1.3326,197408
28/03/2012 0:00,1.33257,1.33727,1.32772,1.33218,211901
29/03/2012 0:00,1.33218,1.33593,1.32524,1.33559,215306
30/03/2012 0:00,1.33559,1.33748,1.33095,1.33398,161818
01/04/2012 0:00,1.33584,1.3376,1.33309,1.33404,32035
02/04/2012 0:00,1.33404,1.33803,1.32777,1.33376,198325
03/04/2012 0:00,1.33376,1.33671,1.31838,1.31854,220181
04/04/2012 0:00,1.3186,1.32117,1.31073,1.31556,210886
05/04/2012 0:00,1.31556,1.31642,1.30353,1.30671,173113
